iter	Passed	Remaining
0	209	209779
1	211	105451
2	212	70662
3	213	53244
4	215	42884
5	216	35913
6	218	30931
7	219	27226
8	220	24316
9	222	21982
10	223	20076
11	224	18491
12	225	17143
13	227	15989
14	228	15021
15	230	14164
16	231	13395
17	232	12704
18	234	12087
19	235	11527
20	236	11022
21	237	10565
22	238	10147
23	241	9801
24	243	9492
25	244	9177
26	247	8903
27	248	8635
28	250	8396
29	252	8152
30	254	7951
31	255	7736
32	257	7534
33	259	7371
34	261	7217
35	263	7050
36	264	6888
37	265	6732
38	267	6600
39	268	6455
40	270	6316
41	272	6220
42	274	6118
43	276	6006
44	278	5920
45	280	5816
46	281	5712
47	282	5609
48	283	5509
49	286	5446
50	289	5378
51	291	5310
52	292	5227
53	293	5148
54	295	5072
55	296	4995
56	297	4920
57	298	4847
58	300	4792
59	303	4752
60	305	4702
61	307	4647
62	309	4595
63	310	4534
64	311	4474
65	312	4417
66	313	4362
67	316	4335
68	319	4305
69	320	4262
70	323	4228
71	325	4190
72	326	4148
73	331	4144
74	333	4108
75	337	4105
76	338	4062
77	340	4019
78	341	3978
79	342	3940
80	343	3900
81	347	3892
82	350	3869
83	351	3837
84	352	3797
85	354	3763
86	354	3725
87	356	3692
88	358	3671
89	362	3665
90	365	3655
91	367	3623
92	368	3591
93	369	3559
94	370	3529
95	371	3500
96	373	3478
97	375	3454
98	376	3428
99	378	3403
100	379	3378
101	380	3346
102	381	3319
103	382	3293
104	383	3266
105	384	3241
106	385	3218
107	386	3194
108	388	3177
109	390	3156
110	391	3139
111	394	3125
112	395	3105
113	396	3085
114	398	3063
115	398	3039
116	400	3019
117	401	2998
118	402	2981
119	404	2964
120	405	2946
121	407	2933
122	408	2911
123	409	2895
124	410	2876
125	411	2857
126	412	2838
127	413	2819
128	414	2801
129	416	2789
130	418	2774
131	419	2758
132	421	2744
133	422	2729
134	423	2713
135	425	2701
136	426	2686
137	427	2672
138	429	2657
139	430	2643
140	432	2637
141	434	2624
142	435	2611
143	437	2598
144	438	2588
145	439	2573
146	441	2559
147	442	2546
148	443	2532
149	444	2518
150	446	2512
151	448	2504
152	450	2493
153	451	2480
154	452	2467
155	453	2454
156	454	2441
157	455	2429
158	456	2417
159	458	2404
160	459	2392
161	460	2382
162	462	2374
163	463	2364
164	465	2353
165	466	2342
166	467	2330
167	468	2319
168	469	2307
169	470	2297
170	471	2286
171	472	2275
172	473	2264
173	474	2254
174	476	2246
175	477	2237
176	479	2228
177	480	2218
178	481	2208
179	482	2198
180	483	2185
181	484	2176
182	485	2167
183	486	2157
184	487	2147
185	488	2138
186	489	2128
187	491	2121
188	492	2113
189	493	2105
190	495	2096
191	496	2087
192	497	2078
193	498	2069
194	499	2060
195	500	2052
196	501	2043
197	502	2034
198	503	2026
199	504	2017
200	506	2011
201	507	2004
202	508	1996
203	509	1987
204	510	1979
205	511	1971
206	512	1963
207	513	1955
208	514	1947
209	515	1939
210	516	1932
211	517	1924
212	518	1917
213	520	1910
214	521	1904
215	522	1897
216	523	1890
217	524	1882
218	525	1875
219	527	1868
220	528	1861
221	529	1854
222	530	1847
223	531	1840
224	532	1833
225	533	1826
226	534	1819
227	535	1813
228	537	1808
229	538	1801
230	539	1794
231	540	1788
232	541	1781
233	542	1775
234	543	1768
235	544	1762
236	545	1756
237	546	1749
238	547	1743
239	548	1737
240	549	1730
241	551	1726
242	552	1720
243	553	1714
244	554	1708
245	555	1702
246	556	1696
247	557	1690
248	558	1684
249	559	1679
250	560	1673
251	561	1667
252	562	1662
253	564	1656
254	565	1652
255	566	1647
256	567	1642
257	569	1636
258	570	1631
259	571	1626
260	572	1621
261	573	1616
262	574	1611
263	576	1606
264	577	1601
265	578	1596
266	580	1592
267	581	1589
268	583	1584
269	584	1579
270	585	1574
271	586	1569
272	587	1564
273	588	1560
274	590	1555
275	591	1550
276	592	1546
277	593	1541
278	595	1538
279	597	1535
280	598	1531
281	599	1526
282	600	1522
283	602	1517
284	603	1513
285	604	1508
286	605	1504
287	606	1499
288	607	1495
289	609	1491
290	611	1489
291	612	1485
292	613	1481
293	615	1476
294	616	1472
295	617	1468
296	618	1463
297	619	1459
298	620	1455
299	622	1451
300	623	1448
301	627	1449
302	628	1446
303	630	1442
304	631	1439
305	632	1435
306	634	1431
307	635	1428
308	636	1423
309	637	1419
310	639	1416
311	642	1416
312	643	1413
313	645	1409
314	646	1405
315	647	1401
316	648	1398
317	650	1394
318	651	1390
319	652	1386
320	653	1382
321	656	1383
322	658	1380
323	660	1377
324	661	1374
325	664	1373
326	667	1373
327	678	1389
328	679	1386
329	681	1384
330	688	1391
331	690	1388
332	693	1388
333	695	1386
334	697	1385
335	708	1399
336	711	1399
337	724	1419
338	727	1417
339	734	1425
340	738	1426
341	740	1423
342	744	1425
343	749	1428
344	753	1429
345	756	1430
346	759	1429
347	767	1438
348	770	1436
349	774	1438
350	776	1436
351	780	1436
352	783	1436
353	786	1435
354	790	1435
355	793	1434
356	796	1434
357	798	1432
358	800	1429
359	807	1435
360	810	1435
361	813	1434
362	816	1432
363	819	1431
364	824	1435
365	826	1432
366	831	1434
367	835	1434
368	837	1432
369	841	1432
370	844	1432
371	849	1433
372	852	1432
373	856	1433
374	859	1432
375	861	1429
376	864	1428
377	865	1424
378	867	1421
379	869	1418
380	870	1414
381	871	1410
382	873	1407
383	875	1404
384	877	1401
385	878	1397
386	880	1393
387	881	1390
388	883	1386
389	884	1383
390	885	1379
391	887	1375
392	888	1372
393	890	1369
394	891	1365
395	893	1362
396	894	1357
397	895	1353
398	896	1350
399	898	1347
400	899	1343
401	901	1340
402	902	1336
403	904	1333
404	906	1331
405	907	1327
406	908	1323
407	909	1319
408	910	1316
409	912	1313
410	913	1309
411	915	1306
412	916	1302
413	918	1299
414	920	1297
415	921	1294
416	922	1290
417	924	1286
418	925	1282
419	926	1280
420	928	1276
421	929	1273
422	931	1270
423	932	1266
424	934	1263
425	935	1260
426	936	1257
427	937	1253
428	938	1249
429	939	1245
