iter	Passed	Remaining
0	147	147568
1	149	74518
2	150	50122
3	152	37903
4	153	30564
5	154	25676
6	156	22170
7	158	19674
8	160	17685
9	161	16033
10	163	14677
11	164	13552
12	165	12593
13	167	11773
14	168	11067
15	169	10447
16	171	9898
17	173	9449
18	174	9027
19	176	8644
20	178	8300
21	179	7989
22	181	7692
23	182	7421
24	183	7168
25	185	6936
26	186	6718
27	189	6564
28	190	6377
29	191	6204
30	193	6040
31	194	5890
32	196	5744
33	197	5609
34	198	5481
35	200	5360
36	201	5244
37	203	5142
38	204	5039
39	205	4940
40	207	4844
41	208	4754
42	209	4668
43	211	4587
44	212	4508
45	213	4432
46	215	4361
47	216	4292
48	218	4234
49	219	4174
50	221	4112
51	222	4056
52	223	3999
53	225	3945
54	226	3891
55	227	3837
56	228	3785
57	229	3735
58	231	3689
59	232	3648
60	234	3602
61	235	3558
62	236	3515
63	237	3473
64	240	3456
65	241	3417
66	242	3378
67	243	3334
68	244	3299
69	245	3265
70	247	3236
71	248	3207
72	250	3180
73	251	3148
74	252	3118
75	254	3090
76	255	3060
77	256	3032
78	257	3005
79	258	2978
80	260	2950
81	261	2927
82	263	2912
83	264	2888
84	265	2859
85	266	2836
86	267	2809
87	268	2786
88	270	2765
89	271	2743
90	272	2722
91	273	2701
92	275	2682
93	276	2665
94	278	2648
95	279	2629
96	280	2610
97	281	2592
98	282	2575
99	284	2557
100	285	2541
101	286	2519
102	287	2502
103	288	2485
104	289	2470
105	291	2457
106	292	2442
107	293	2426
108	295	2411
109	296	2396
110	297	2381
111	298	2367
112	299	2353
113	301	2339
114	302	2325
115	303	2310
116	304	2297
117	305	2283
118	306	2270
119	308	2260
120	309	2248
121	310	2237
122	311	2221
123	312	2210
124	313	2197
125	315	2186
126	316	2174
127	317	2160
128	318	2151
129	320	2144
130	322	2137
131	323	2129
132	325	2120
133	326	2112
134	331	2125
135	336	2137
136	337	2127
137	338	2116
138	348	2157
139	351	2157
140	352	2149
141	354	2141
142	355	2133
143	357	2125
144	359	2117
145	360	2109
146	362	2105
147	364	2097
148	365	2089
149	367	2082
150	369	2074
151	370	2066
152	371	2057
153	372	2048
154	374	2039
155	375	2030
156	376	2023
157	378	2015
158	379	2006
159	380	1997
160	381	1988
161	382	1980
162	383	1971
163	385	1962
164	386	1954
165	387	1946
166	388	1937
167	389	1930
168	390	1921
169	392	1916
170	393	1909
171	395	1902
172	396	1894
173	397	1886
174	398	1879
175	399	1872
176	401	1865
177	402	1857
178	403	1850
179	404	1843
180	405	1833
181	406	1828
182	408	1822
183	409	1815
184	410	1808
185	411	1802
186	413	1796
187	414	1789
188	415	1782
189	416	1776
190	417	1769
191	418	1762
192	420	1756
193	421	1751
194	422	1745
195	424	1739
196	425	1733
197	426	1726
198	427	1720
199	428	1713
200	429	1707
201	430	1701
202	431	1695
203	432	1689
204	434	1683
205	435	1677
206	437	1674
207	438	1668
208	439	1663
209	440	1657
210	441	1652
211	442	1646
212	443	1640
213	445	1634
214	446	1628
215	447	1623
216	448	1617
217	449	1612
218	451	1610
219	453	1607
220	454	1601
221	455	1597
222	456	1592
223	458	1587
224	459	1582
225	460	1577
226	461	1572
227	463	1567
228	464	1563
229	465	1559
230	467	1554
231	468	1550
232	469	1545
233	470	1541
234	471	1536
235	473	1531
236	474	1527
237	475	1522
238	476	1517
239	477	1513
240	478	1507
241	480	1504
242	482	1503
243	484	1500
244	485	1497
245	487	1493
246	488	1489
247	489	1485
248	490	1480
249	491	1475
250	493	1471
251	494	1467
252	496	1465
253	497	1460
254	498	1456
255	499	1452
256	501	1448
257	503	1448
258	504	1443
259	505	1439
260	507	1435
261	508	1431
262	509	1427
263	511	1424
264	512	1421
265	513	1417
266	514	1413
267	516	1409
268	517	1405
269	518	1401
270	519	1397
271	520	1393
272	521	1389
273	523	1386
274	524	1382
275	525	1379
276	527	1376
277	528	1373
278	530	1369
279	531	1366
280	532	1362
281	533	1358
282	534	1355
283	536	1352
284	537	1349
285	538	1345
286	540	1343
287	542	1341
288	544	1338
289	545	1335
290	546	1331
291	547	1328
292	548	1324
293	550	1321
294	551	1318
295	552	1314
296	554	1311
297	556	1310
298	558	1308
299	559	1305
300	560	1302
301	561	1298
302	563	1295
303	564	1292
304	565	1289
305	566	1285
306	568	1282
307	569	1279
308	570	1276
309	573	1276
310	574	1272
311	575	1269
312	576	1266
313	578	1262
314	579	1260
315	580	1257
316	581	1253
317	583	1250
318	584	1247
319	587	1248
320	589	1246
321	590	1243
322	591	1240
323	593	1237
324	595	1237
325	596	1234
326	598	1230
327	599	1228
328	601	1226
329	602	1223
330	603	1220
331	605	1217
332	606	1214
333	607	1210
334	608	1208
335	610	1205
336	611	1202
337	612	1199
338	613	1196
339	615	1194
340	616	1192
341	618	1189
342	619	1186
343	620	1183
344	621	1180
345	623	1178
346	624	1175
347	625	1172
348	626	1168
349	627	1165
350	630	1165
351	632	1163
352	633	1161
353	635	1159
354	637	1157
355	639	1156
356	640	1153
357	641	1150
358	642	1147
359	644	1145
360	646	1143
361	649	1144
362	650	1142
363	652	1139
364	653	1136
365	654	1134
366	655	1131
367	657	1128
368	660	1129
369	661	1126
370	663	1125
371	665	1123
372	666	1121
373	668	1118
374	669	1115
375	671	1113
376	672	1111
377	674	1109
378	675	1107
379	677	1106
380	689	1121
381	691	1118
382	692	1115
383	694	1113
384	696	1112
385	698	1111
386	701	1111
387	702	1108
388	704	1106
389	705	1103
390	707	1101
391	708	1098
392	710	1098
393	712	1095
394	714	1094
395	716	1092
396	717	1089
397	718	1086
398	719	1083
399	720	1081
400	722	1078
401	723	1076
402	725	1074
403	727	1073
404	730	1072
405	731	1070
406	732	1067
407	733	1064
408	735	1062
409	736	1059
410	737	1057
411	740	1056
412	742	1054
413	744	1053
414	747	1054
415	750	1053
416	751	1050
417	753	1048
418	756	1048
419	757	1046
420	759	1044
421	760	1041
422	762	1040
423	765	1040
424	766	1037
425	767	1034
426	771	1034
427	772	1032
428	774	1030
429	775	1027
430	777	1026
431	780	1026
432	782	1024
433	783	1021
434	785	1020
435	787	1018
436	789	1017
437	792	1016
438	793	1014
439	794	1011
440	796	1009
441	797	1006
442	798	1004
443	801	1003
444	803	1001
445	806	1002
446	808	999
447	809	997
448	810	994
449	811	992
450	813	989
451	816	989
452	817	987
453	820	986
454	821	984
455	822	981
456	823	978
457	825	976
458	826	973
459	827	971
460	829	969
461	832	968
462	833	967
463	837	967
464	838	965
465	840	962
466	846	966
467	848	964
468	853	966
469	855	964
470	856	962
471	860	962
472	863	961
473	865	960
474	868	959
475	869	957
476	870	954
477	872	952
478	873	949
479	875	947
480	878	948
481	884	950
482	888	951
483	890	949
484	894	949
485	898	950
486	900	948
487	902	946
488	904	944
489	905	942
490	909	942
491	914	943
492	916	942
493	917	940
494	919	938
495	921	936
496	930	941
497	931	939
498	933	936
499	935	935
500	936	932
501	937	930
502	940	929
503	942	927
504	943	925
505	946	924
506	948	922
507	950	920
508	952	918
509	953	916
510	955	914
511	957	912
512	959	911
513	961	908
514	962	906
515	967	907
516	969	905
517	970	903
518	991	918
519	993	917
520	995	914
521	1001	917
522	1003	915
523	1005	913
524	1006	911
525	1013	913
526	1015	911
527	1018	910
528	1020	908
529	1022	906
530	1029	909
531	1032	907
532	1064	933
533	1071	934
534	1073	932
535	1077	932
536	1079	930
537	1081	928
538	1082	925
539	1084	923
540	1086	921
541	1088	919
542	1092	919
543	1094	917
544	1095	914
545	1097	912
546	1099	910
547	1100	907
548	1102	905
549	1158	947
550	1160	945
551	1161	942
552	1163	940
553	1165	938
554	1170	938
555	1177	940
556	1179	938
557	1181	935
558	1183	933
559	1190	935
560	1191	932
561	1194	930
562	1196	928
563	1197	925
564	1199	923
565	1200	920
566	1206	921
567	1208	919
568	1210	916
569	1211	914
570	1213	911
571	1219	912
572	1221	910
573	1224	908
574	1226	906
575	1227	903
576	1229	901
577	1237	903
578	1239	901
579	1241	898
580	1242	896
581	1245	894
582	1251	895
583	1254	893
584	1256	891
585	1257	888
586	1258	885
587	1260	883
588	1264	882
589	1266	880
590	1268	877
591	1269	875
592	1271	872
593	1273	870
594	1274	867
595	1275	864
596	1282	865
